Title,Release Date,Discount,Price,Review Summary
Counter-Strike 2,"Aug 21, 2012",0%,Free,Very Positive
Ready or Not,"Dec 13, 2023",0%,$49.99,Mostly Positive
Steam Deck,"Jan 17, 2025",0%,$399.00,No Reviews
Umamusume: Pretty Derby,"Jun 24, 2025",0%,Free,Very Positive
Marvel Rivals,"Dec 5, 2024",0%,Free,Mostly Positive
PEAK,"Jun 16, 2025",0%,$7.99,Very Positive
Destiny 2,"Oct 1, 2019",0%,Free,Mostly Positive
Mage Arena,"Jul 24, 2025",0%,$2.99,Overwhelmingly Positive
Killing Floor 3,"Jul 24, 2025",0%,$39.99,Mixed
Warframe,"Mar 25, 2013",0%,Free,Very Positive
Abiotic Factor,"Jul 22, 2025",-20%,$27.99,Overwhelmingly Positive
Wildgate,"Jul 22, 2025",0%,$29.99,Very Positive
Dead by Daylight,"Jun 14, 2016",0%,$19.99,Mostly Positive
RimWorld,"Oct 17, 2018",0%,$34.99,Overwhelmingly Positive
Apex Legends™,"Nov 4, 2020",0%,Free,Mixed
Clair Obscur: Expedition 33,"Apr 24, 2025",-10%,$44.99,Overwhelmingly Positive
HELLDIVERS™ 2,"Feb 8, 2024",0%,$39.99,Mostly Positive
Magic: The Gathering Arena,"May 23, 2023",0%,Free,Mixed
Team Fortress 2,"Oct 10, 2007",0%,Free,Very Positive
War Thunder,"Aug 15, 2013",0%,Free,Mostly Positive
Kingdom Come: Deliverance II,"Feb 4, 2025",-30%,$41.99,Very Positive
OCTOPATH TRAVELER II,"Feb 24, 2023",-60%,$23.99,Very Positive
Baldur's Gate 3,"Aug 3, 2023",0%,$59.99,Overwhelmingly Positive
Tom Clancy's Rainbow Six® Siege X,"Dec 1, 2015",0%,Free,Very Positive
ELDEN RING NIGHTREIGN,"May 29, 2025",0%,$39.99,Very Positive
Lost Ark,"Feb 11, 2022",0%,Free,Mostly Positive
Dune: Awakening,"Jun 10, 2025",0%,$49.99,Mostly Positive
Cyberpunk 2077,"Dec 9, 2020",0%,$59.99,Very Positive
"Warhammer 40,000: Space Marine 2","Sep 9, 2024",-45%,$32.99,Very Positive
Rust,"Feb 8, 2018",0%,$39.99,Very Positive
Once Human,"Jul 9, 2024",0%,Free,Mostly Positive
Black Desert,"May 24, 2017",0%,$9.99,Mostly Positive
Call of Duty®: Warzone™,"Nov 16, 2022",0%,Free,Mostly Negative
ELDEN RING,"Feb 24, 2022",0%,$59.99,Very Positive
MapleStory,"Aug 9, 2012",0%,Free,Mixed
Schedule I,"Mar 24, 2025",0%,$19.99,Overwhelmingly Positive
Borderlands 4,"Sep 12, 2025",0%,$69.99,No Reviews
The Sims™ 4,"Jun 18, 2020",0%,Free,Very Positive
RimWorld - Odyssey,"Jul 11, 2025",0%,$24.99,Very Positive
OCTOPATH TRAVELER™,"Jun 7, 2019",-60%,$23.99,Very Positive
Torchlight: Infinite,"May 9, 2023",0%,Free,Mostly Positive
DELTARUNE,"Jun 4, 2025",0%,$24.99,Overwhelmingly Positive
PUBG: BATTLEGROUNDS,"Dec 21, 2017",0%,Free,Mixed
FINAL FANTASY XIV Online,"Feb 18, 2014",0%,$19.99,Very Positive
R.E.P.O.,"Feb 26, 2025",0%,$9.99,Overwhelmingly Positive
WUCHANG: Fallen Feathers,"Jul 23, 2025",0%,$49.99,Mostly Negative
Date Everything!,"Jun 17, 2025",0%,$29.99,Overwhelmingly Positive
ARK: Survival Ascended,"Oct 25, 2023",0%,$44.99,Mixed
Wuthering Waves,"Apr 28, 2025",0%,Free,Very Positive
Palworld,"Jan 18, 2024",-25%,$22.49,Very Positive
The First Descendant,"Jun 30, 2024",0%,Free,Mixed
Mecha BREAK,"Jul 1, 2025",0%,Free,Mixed
Destiny 2: The Edge of Fate,"Jul 15, 2025",0%,$39.99,Mixed
FOR HONOR™,"Mar 14, 2024",-85%,$4.49,Mixed
THRONE AND LIBERTY,"Oct 1, 2024",0%,Free,Mixed
DayZ,"Dec 13, 2018",-50%,$24.99,Mostly Positive
The King is Watching,"Jul 21, 2025",-10%,$13.49,Very Positive
Hell Clock,"Jul 22, 2025",0%,$19.99,Very Positive
Phasmophobia,"Sep 18, 2020",0%,$19.99,Overwhelmingly Positive
American Truck Simulator,"Feb 2, 2016",0%,$19.99,Overwhelmingly Positive
NBA 2K25,"Oct 28, 2024",0%,$69.99,Mixed
The Elder Scrolls® Online,"May 22, 2017",0%,$19.99,Very Positive
Ready or Not: Dark Waters,"Dec 10, 2024",0%,$9.99,Mixed
Stellar Blade™,"Jun 11, 2025",0%,$59.99,Very Positive
Ready or Not: Home Invasion,"Jul 23, 2024",0%,$9.99,Mixed
Limbus Company,"Feb 26, 2023",0%,Free,Very Positive
Dead Island 2,"Apr 22, 2024",-70%,$14.99,Mostly Positive
Monster Hunter Wilds,"Feb 27, 2025",0%,$69.99,Mixed
BeamNG.drive,"May 29, 2015",-20%,$19.99,Overwhelmingly Positive
"Warhammer 40,000: Darktide","Nov 30, 2022",0%,$39.99,Mostly Positive
Crusader Kings III,"Sep 1, 2020",-70%,$14.99,Very Positive
THE FINALS,"Dec 7, 2023",0%,Free,Mostly Positive
New World: Aeternum,"Sep 28, 2021",0%,$59.99,Mixed
Delta Force,"Dec 4, 2024",0%,Free,Mixed
Deep Rock Galactic,"May 13, 2020",-70%,$8.99,Overwhelmingly Positive
